date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-06-29,23.89,25.0,17.54,19.0,18766300,4.778,5.0,3.508,3.8,93831500,0.0,1.0
2010-06-30,23.83,30.4192,23.3,25.79,17187100,4.766,6.08384,4.66,5.158,85935500,0.0,1.0
2010-07-01,21.96,25.92,20.27,25.0,8218800,4.392,5.184,4.054,5.0,41094000,0.0,1.0
2010-07-02,19.2,23.1,18.71,23.0,5139800,3.84,4.62,3.742,4.6,25699000,0.0,1.0
2010-07-06,16.11,20.0,15.83,20.0,6866900,3.222,4.0,3.166,4.0,34334500,0.0,1.0
2010-07-07,15.8,16.63,14.98,16.4,6921700,3.16,3.326,2.996,3.28,34608500,0.0,1.0
2010-07-08,17.46,17.52,15.57,16.14,7711400,3.492,3.504,3.114,3.228,38557000,0.0,1.0
2010-07-09,17.4,17.9,16.55,17.58,4050600,3.48,3.58,3.31,3.516,20253000,0.0,1.0
2010-07-12,17.05,18.07,17.0,17.95,2202500,3.41,3.614,3.4,3.59,11012500,0.0,1.0
2010-07-13,18.14,18.64,16.9,17.3938,2680100,3.628,3.728,3.38,3.47876,13400500,0.0,1.0
2010-07-14,19.84,20.15,17.7601,17.94,4195200,3.968,4.03,3.55202,3.588,20976000,0.0,1.0
2010-07-15,19.89,21.5,19.0,19.94,3739800,3.978,4.3,3.8,3.988,18699000,0.0,1.0
2010-07-16,20.64,21.3,20.05,20.7,2621300,4.128,4.26,4.01,4.14,13106500,0.0,1.0
2010-07-19,21.91,22.25,20.92,21.37,2486500,4.382,4.45,4.184,4.274,12432500,0.0,1.0
2010-07-20,20.3,21.85,20.05,21.85,1825300,4.06,4.37,4.01,4.37,9126500,0.0,1.0
2010-07-21,20.22,20.9,19.5,20.66,1252500,4.044,4.18,3.9,4.132,6262500,0.0,1.0
2010-07-22,21.0,21.25,20.37,20.5,957800,4.2,4.25,4.074,4.1,4789000,0.0,1.0
2010-07-23,21.29,21.56,21.06,21.19,653600,4.258,4.312,4.212,4.238,3268000,0.0,1.0
2010-07-26,20.95,21.5,20.3,21.5,922200,4.19,4.3,4.06,4.3,4611000,0.0,1.0
2010-07-27,20.55,21.18,20.26,20.91,619700,4.11,4.236,4.052,4.182,3098500,0.0,1.0
2010-07-28,20.72,20.9,20.51,20.55,467200,4.144,4.18,4.102,4.11,2336000,0.0,1.0
2010-07-29,20.35,20.88,20.0,20.77,616000,4.07,4.176,4.0,4.154,3080000,0.0,1.0
2010-07-30,19.94,20.44,19.55,20.2,426900,3.988,4.088,3.91,4.04,2134500,0.0,1.0
2010-08-02,20.92,20.97,20.333,20.5,718100,4.184,4.194,4.0666,4.1,3590500,0.0,1.0
2010-08-03,21.95,21.95,20.82,21.0,1230500,4.39,4.39,4.164,4.2,6152500,0.0,1.0
2010-08-04,21.26,22.18,20.85,21.95,913000,4.252,4.436,4.17,4.39,4565000,0.0,1.0
2010-08-05,20.45,21.55,20.05,21.54,796200,4.09,4.31,4.01,4.308,3981000,0.0,1.0
2010-08-06,19.59,20.1601,19.52,20.1,741900,3.918,4.03202,3.904,4.02,3709500,0.0,1.0
2010-08-09,19.6,19.98,19.45,19.9,812700,3.92,3.996,3.89,3.98,4063500,0.0,1.0
2010-08-10,19.03,19.65,18.82,19.65,1281300,3.806,3.93,3.764,3.93,6406500,0.0,1.0
2010-08-11,17.9,18.88,17.85,18.69,797600,3.58,3.776,3.57,3.738,3988000,0.0,1.0
2010-08-12,17.6,17.9,17.39,17.8,691000,3.52,3.58,3.478,3.56,3455000,0.0,1.0
2010-08-13,18.32,18.45,17.6604,18.18,634000,3.664,3.69,3.53208,3.636,3170000,0.0,1.0
2010-08-16,18.78,18.8,18.2616,18.45,485800,3.756,3.76,3.65232,3.69,2429000,0.0,1.0
2010-08-17,19.15,19.4,18.78,18.96,447900,3.83,3.88,3.756,3.792,2239500,0.0,1.0
2010-08-18,18.77,19.59,18.6,19.59,601300,3.754,3.918,3.72,3.918,3006500,0.0,1.0
2010-08-19,18.79,19.25,18.33,18.54,579100,3.758,3.85,3.666,3.708,2895500,0.0,1.0
2010-08-20,19.1,19.11,18.5101,18.65,296000,3.82,3.822,3.70202,3.73,1480000,0.0,1.0
2010-08-23,20.13,20.3891,19.0,19.09,1088100,4.026,4.07782,3.8,3.818,5440500,0.0,1.0
2010-08-24,19.2,19.71,18.95,19.25,673100,3.84,3.942,3.79,3.85,3365500,0.0,1.0
2010-08-25,19.9,19.98,18.56,19.16,503300,3.98,3.996,3.712,3.832,2516500,0.0,1.0
2010-08-26,19.75,20.27,19.6,19.89,433800,3.95,4.054,3.92,3.978,2169000,0.0,1.0
2010-08-27,19.7,19.865,19.5,19.75,379600,3.94,3.973,3.9,3.95,1898000,0.0,1.0
2010-08-30,19.87,20.19,19.61,19.7,732800,3.974,4.038,3.922,3.94,3664000,0.0,1.0
2010-08-31,19.48,19.79,19.33,19.66,201100,3.896,3.958,3.866,3.932,1005500,0.0,1.0
2010-09-01,20.45,20.69,19.6,19.62,494900,4.09,4.138,3.92,3.924,2474500,0.0,1.0
2010-09-02,21.06,21.24,20.3103,20.37,487100,4.212,4.248,4.06206,4.074,2435500,0.0,1.0
2010-09-03,21.05,21.3,20.66,20.87,434600,4.21,4.26,4.132,4.174,2173000,0.0,1.0
2010-09-07,20.54,21.0,20.5,20.61,243400,4.108,4.2,4.1,4.122,1217000,0.0,1.0
2010-09-08,20.9,20.95,20.6,20.66,288400,4.18,4.19,4.12,4.132,1442000,0.0,1.0
2010-09-09,20.71,21.05,20.69,21.0,376200,4.142,4.21,4.138,4.2,1881000,0.0,1.0
2010-09-10,20.17,20.93,19.76,20.75,386600,4.034,4.186,3.952,4.15,1933000,0.0,1.0
2010-09-13,20.72,20.8995,20.5,20.89,360800,4.144,4.1799,4.1,4.178,1804000,0.0,1.0
2010-09-14,21.12,21.6,20.53,20.54,654700,4.224,4.32,4.106,4.108,3273500,0.0,1.0
2010-09-15,21.98,22.0,20.79,20.98,684600,4.396,4.4,4.158,4.196,3423000,0.0,1.0
