date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-31,260.92,265.42,248.88,248.88,0,247.124138588402,251.386205979356,235.720740502382,235.720740502382,0,0.0,1.0
2018-02-28,251.27,260.8,238.61,260.8,0,237.984371850022,247.010483457976,225.993755590137,247.010483457976,0,0.0,1.0
2018-03-30,243.81,258.17,238.91,247.97,0,231.912136185665,244.519541849485,227.251254895686,234.858855763322,0,1.0277,1.0
2018-04-30,244.72,250.26,238.36,238.36,0,232.777728425232,238.047377883698,226.728094750892,226.728094750892,0,0.0,1.0
2018-05-31,250.58,253.03,243.05,245.34,0,238.351761967942,240.682202612931,231.189223985586,233.367472588454,0,0.0,1.0
2018-06-29,250.99,258.24,249.21,253.32,0,239.793919191651,245.637955984521,238.093320856414,240.958050689277,0,1.0983,1.0
2018-07-31,260.3,263.02,250.52,251.76,0,248.688621720334,251.287288839348,239.344884799762,240.529571280489,0,0.0,1.0
2018-08-31,268.75,269.83,260.02,260.02,0,256.761686851094,257.793510560114,248.421111869847,248.421111869847,0,0.0,1.0
2018-09-28,269.09,271.72,266.1,268.32,0,258.185045077813,259.5992020509,254.229897194702,256.350868152132,0,1.1502,1.0
2018-10-31,250.66,270.16,244.12,270.07,0,240.501926490039,259.211682999078,234.226961999315,259.125330276729,0,0.0,1.0
2018-11-30,255.74,260.16,243.78,253.31,0,245.376057929317,249.616936071366,233.900740603773,243.044534425883,0,0.0,1.0
2018-12-31,231.44,258.54,216.98,258.54,0,223.19371448685,248.062587069076,209.24892917973,248.062587069076,0,1.2238,1.0
2019-01-31,249.96,249.96,226.05,231.73,0,241.053840620174,241.053840620174,217.995762010683,223.473381688722,0,0.0,1.0
2019-02-28,257.96,258.92,250.21,250.21,0,248.768797913187,249.694592788348,241.294933035581,241.294933035581,0,0.0,1.0
2019-03-29,261.56,263.37,254.23,259.75,0,253.586547361524,255.341370922942,245.17169907532,250.495019607498,0,1.3902,1.0
2019-04-30,272.13,272.13,264.59,264.59,0,263.83432915389,263.83432915389,256.524180174284,256.524180174284,0,0.0,1.0
2019-05-31,254.81,272.15,254.81,270.09,0,247.042315847951,263.853719469486,247.042315847951,261.856516963121,0,0.0,1.0
2019-06-28,271.41,273.83,254.11,254.11,0,264.416617193056,265.482505979531,246.363654802098,246.363654802098,0,1.3078,1.0
2019-07-31,275.28,279.45,273.5,273.5,0,268.186899454348,272.249451658375,266.452764460782,266.452764460782,0,0.0,1.0
2019-08-30,270.9,272.83,262.7,272.83,0,263.919758290405,265.800028255339,255.931046522294,265.800028255339,0,0.0,1.0
2019-09-30,274.71,278.79,269.05,269.05,0,268.825627704799,271.606457784356,262.117426976868,262.117426976868,0,1.2287,1.0
2019-10-31,280.63,281.47,266.5,271.36,0,274.618819492547,275.440826435403,260.791488418073,265.547385730313,0,0.0,1.0
2019-11-29,290.79,291.9,283.37,283.37,0,284.561189182332,285.647412642535,277.300127853769,277.300127853769,0,0.0,1.0
2019-12-31,298.16,298.96,286.38,288.29,0,293.113585881863,293.900045731291,280.245652732337,282.114739947641,0,1.3651,1.0
2020-01-31,298.01,307.51,298.01,300.69,0,292.966124660095,302.305335372054,292.966124660095,295.600765155679,0,0.0,1.0
2020-02-28,273.45,313.25,273.45,300.17,0,268.821807282651,307.948184791701,268.821807282651,295.089566253551,0,0.0,1.0
2020-03-31,238.57,289.74,206.44,286.03,0,235.562924921547,284.836095966632,203.837910134569,281.188888414909,0,1.1129,1.0
2020-04-30,269.14,271.63,228.04,228.04,0,265.747602856122,268.206217447457,225.165651167831,225.165651167831,0,0.0,1.0
2020-05-29,281.94,281.94,260.84,261.61,0,278.386264209167,278.386264209167,257.552220885008,258.312515357027,0,0.0,1.0
2020-06-30,286.12,299.47,277.65,283.0,0,283.891905497687,295.695305890328,274.683531390892,279.432903352466,0,1.3546,1.0
2020-07-31,302.22,302.56,287.56,287.56,0,299.866530405113,300.203882732351,285.320691824811,285.320691824811,0,0.0,1.0
2020-08-31,324.59,324.59,304.4,304.4,0,322.062329111891,322.062329111891,302.029554150342,302.029554150342,0,0.0,1.0
2020-09-30,310.33,331.4,299.82,326.35,0,309.140926666881,328.819297783914,297.485219859907,323.808623511709,0,1.2328,1.0
2020-10-30,302.04,326.31,302.04,312.0,0,300.882690975622,325.05969703435,300.882690975622,310.804527825434,0,0.0,1.0
2020-11-30,335.07,336.56,305.76,305.76,0,333.786131854064,335.270422708103,304.588437268925,304.588437268925,0,0.0,1.0
