date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-31,260.92,260.92,260.92,260.92,0,245.563210189165,245.563210189165,245.563210189165,245.563210189165,0,0.0,1.0
2018-02-01,260.8,260.8,260.8,260.8,0,245.450272947012,245.450272947012,245.450272947012,245.450272947012,0,0.0,1.0
2018-02-02,255.28,255.28,255.28,255.28,0,240.255159807949,240.255159807949,240.255159807949,240.255159807949,0,0.0,1.0
2018-02-05,244.8,244.8,244.8,244.8,0,230.391973993207,230.391973993207,230.391973993207,230.391973993207,0,0.0,1.0
2018-02-06,249.12,249.12,249.12,249.12,0,234.457714710734,234.457714710734,234.457714710734,234.457714710734,0,0.0,1.0
2018-02-07,247.87,247.87,247.87,247.87,0,233.281285104968,233.281285104968,233.281285104968,233.281285104968,0,0.0,1.0
2018-02-08,238.61,238.61,238.61,238.61,0,224.566294585454,224.566294585454,224.566294585454,224.566294585454,0,0.0,1.0
2018-02-09,242.25,242.25,242.25,242.25,0,227.992057597445,227.992057597445,227.992057597445,227.992057597445,0,0.0,1.0
2018-02-12,245.62,245.62,245.62,245.62,0,231.16371181459,231.16371181459,231.16371181459,231.16371181459,0,0.0,1.0
2018-02-13,246.28,246.28,246.28,246.28,0,231.784866646434,231.784866646434,231.784866646434,231.784866646434,0,0.0,1.0
2018-02-14,249.65,249.65,249.65,249.65,0,234.956520863579,234.956520863579,234.956520863579,234.956520863579,0,0.0,1.0
2018-02-15,252.72,252.72,252.72,252.72,0,237.84583197534,237.84583197534,237.84583197534,237.84583197534,0,0.0,1.0
2018-02-16,252.84,252.84,252.84,252.84,0,237.958769217494,237.958769217494,237.958769217494,237.958769217494,0,0.0,1.0
2018-02-20,251.37,251.37,251.37,251.37,0,236.575288001113,236.575288001113,236.575288001113,236.575288001113,0,0.0,1.0
2018-02-21,250.0,250.0,250.0,250.0,0,235.285921153194,235.285921153194,235.285921153194,235.285921153194,0,0.0,1.0
2018-02-22,250.26,250.26,250.26,250.26,0,235.530618511193,235.530618511193,235.530618511193,235.530618511193,0,0.0,1.0
2018-02-23,254.29,254.29,254.29,254.29,0,239.323427560182,239.323427560182,239.323427560182,239.323427560182,0,0.0,1.0
2018-02-26,257.3,257.3,257.3,257.3,0,242.156270050867,242.156270050867,242.156270050867,242.156270050867,0,0.0,1.0
2018-02-27,254.07,254.07,254.07,254.07,0,239.116375949568,239.116375949568,239.116375949568,239.116375949568,0,0.0,1.0
2018-02-28,251.27,251.27,251.27,251.27,0,236.481173632652,236.481173632652,236.481173632652,236.481173632652,0,0.0,1.0
2018-03-01,247.97,247.97,247.97,247.97,0,233.37539947343,233.37539947343,233.37539947343,233.37539947343,0,0.0,1.0
2018-03-02,249.24,249.24,249.24,249.24,0,234.570651952888,234.570651952888,234.570651952888,234.570651952888,0,0.0,1.0
2018-03-05,251.99,251.99,251.99,251.99,0,237.158797085573,237.158797085573,237.158797085573,237.158797085573,0,0.0,1.0
2018-03-06,252.67,252.67,252.67,252.67,0,237.79877479111,237.79877479111,237.79877479111,237.79877479111,0,0.0,1.0
2018-03-07,252.56,252.56,252.56,252.56,0,237.695248985802,237.695248985802,237.695248985802,237.695248985802,0,0.0,1.0
2018-03-08,253.76,253.76,253.76,253.76,0,238.824621407338,238.824621407338,238.824621407338,238.824621407338,0,0.0,1.0
2018-03-09,258.17,258.17,258.17,258.17,0,242.97506505648,242.97506505648,242.97506505648,242.97506505648,0,0.0,1.0
2018-03-12,257.85,257.85,257.85,257.85,0,242.673899077404,242.673899077404,242.673899077404,242.673899077404,0,0.0,1.0
2018-03-13,256.22,256.22,256.22,256.22,0,241.139834871485,241.139834871485,241.139834871485,241.139834871485,0,0.0,1.0
2018-03-14,254.82,254.82,254.82,254.82,0,239.822233713027,239.822233713027,239.822233713027,239.822233713027,0,0.0,1.0
2018-03-15,254.64,254.64,254.64,254.64,0,239.652827849797,239.652827849797,239.652827849797,239.652827849797,0,0.0,1.0
2018-03-16,255.08,255.08,255.08,255.08,0,240.066931071027,240.066931071027,240.066931071027,240.066931071027,0,0.0,1.0
2018-03-19,251.45,251.45,251.45,251.45,0,236.650579495882,236.650579495882,236.650579495882,236.650579495882,0,0.0,1.0
2018-03-20,251.83,251.83,251.83,251.83,0,237.008214096035,237.008214096035,237.008214096035,237.008214096035,0,0.0,1.0
2018-03-21,251.39,251.39,251.39,251.39,0,236.594110874805,236.594110874805,236.594110874805,236.594110874805,0,0.0,1.0
2018-03-22,245.07,245.07,245.07,245.07,0,230.646082788053,230.646082788053,230.646082788053,230.646082788053,0,0.0,1.0
2018-03-23,238.91,238.91,238.91,238.91,0,225.815851055515,225.815851055515,225.815851055515,225.815851055515,0,1.0277,1.0
