event_date,early_close,close_time
1980-01-01,f,1600
1980-02-18,f,1600
1980-04-04,f,1600
1980-05-26,f,1600
1980-07-04,f,1600
1980-09-01,f,1600
1980-11-04,f,1600
1980-11-27,f,1600
1980-12-25,f,1600
1981-01-01,f,1600
1981-02-16,f,1600
1981-04-17,f,1600
1981-05-25,f,1600
1981-07-03,f,1600
1981-09-07,f,1600
1981-11-26,f,1600
1981-12-25,f,1600
1982-01-01,f,1600
1982-02-15,f,1600
1982-04-09,f,1600
1982-05-31,f,1600
1982-07-05,f,1600
1982-09-06,f,1600
1982-11-25,f,1600
1982-12-24,f,1600
1983-02-21,f,1600
1983-04-01,f,1600
1983-05-30,f,1600
1983-07-04,f,1600
1983-09-05,f,1600
1983-11-24,f,1600
1983-12-26,f,1600
1984-01-02,f,1600
1984-02-20,f,1600
1984-04-20,f,1600
1984-05-28,f,1600
1984-07-04,f,1600
1984-09-03,f,1600
1984-11-22,f,1600
1984-12-25,f,1600
1985-01-01,f,1600
1985-02-18,f,1600
1985-04-05,f,1600
1985-05-27,f,1600
1985-07-04,f,1600
1985-09-02,f,1600
1985-11-28,f,1600
1985-12-25,f,1600
1986-01-01,f,1600
1986-02-17,f,1600
1986-03-28,f,1600
1986-05-26,f,1600
1986-07-04,f,1600
1986-09-01,f,1600
1986-11-27,f,1600
1986-12-25,f,1600
1987-01-01,f,1600
1987-02-16,f,1600
1987-04-17,f,1600
1987-05-25,f,1600
1987-07-03,f,1600
1987-09-07,f,1600
1987-11-26,f,1600
1987-12-25,f,1600
1988-01-01,f,1600
1988-02-15,f,1600
1988-04-01,f,1600
1988-05-30,f,1600
1988-07-04,f,1600
1988-09-05,f,1600
1988-11-24,f,1600
1988-12-26,f,1600
1989-01-02,f,1600
1989-02-20,f,1600
1989-03-24,f,1600
1989-05-29,f,1600
1989-07-04,f,1600
1989-09-04,f,1600
1989-11-23,f,1600
1989-12-25,f,1600
1990-01-01,f,1600
1990-02-19,f,1600
1990-04-13,f,1600
1990-05-28,f,1600
1990-07-04,f,1600
1990-09-03,f,1600
1990-11-22,f,1600
1990-12-25,f,1600
1991-01-01,f,1600
1991-02-18,f,1600
1991-03-29,f,1600
1991-05-27,f,1600
1991-07-04,f,1600
1991-09-02,f,1600
1991-11-28,f,1600
1991-12-25,f,1600
1992-01-01,f,1600
1992-02-17,f,1600
1992-04-17,f,1600
1992-05-25,f,1600
1992-07-03,f,1600
1992-09-07,f,1600
1992-11-26,f,1600
1992-12-25,f,1600
1993-01-01,f,1600
1993-02-15,f,1600
1993-04-09,f,1600
1993-05-31,f,1600
1993-07-05,f,1600
1993-09-06,f,1600
1993-11-25,f,1600
1993-12-24,f,1600
1994-02-21,f,1600
1994-04-01,f,1600
1994-04-27,f,1600
1994-05-30,f,1600
1994-07-04,f,1600
1994-09-05,f,1600
1994-11-24,f,1600
1994-12-26,f,1600
1995-01-02,f,1600
1995-02-20,f,1600
1995-04-14,f,1600
1995-05-29,f,1600
1995-07-04,f,1600
1995-09-04,f,1600
1995-11-23,f,1600
1995-12-25,f,1600
1996-01-01,f,1600
1996-02-19,f,1600
1996-04-05,f,1600
1996-05-27,f,1600
1996-07-04,f,1600
1996-09-02,f,1600
1996-11-28,f,1600
1996-12-25,f,1600
1997-01-01,f,1600
1997-02-17,f,1600
1997-03-28,f,1600
1997-05-26,f,1600
1997-07-04,f,1600
1997-09-01,f,1600
1997-11-27,f,1600
1997-12-25,f,1600
1998-01-01,f,1600
1998-01-19,f,1600
1998-02-16,f,1600
1998-04-10,f,1600
1998-05-25,f,1600
1998-07-03,f,1600
1998-09-07,f,1600
1998-11-26,f,1600
1998-12-25,f,1600
1999-01-01,f,1600
1999-01-18,f,1600
1999-02-15,f,1600
1999-04-02,f,1600
1999-05-31,f,1600
1999-07-05,f,1600
1999-09-06,f,1600
1999-11-25,f,1600
1999-12-24,f,1600
2000-01-17,f,1600
2000-02-21,f,1600
2000-04-21,f,1600
2000-05-29,f,1600
2000-07-04,f,1600
2000-09-04,f,1600
2000-11-23,f,1600
2000-12-25,f,1600
2001-01-01,f,1600
2001-01-15,f,1600
2001-02-19,f,1600
2001-04-13,f,1600
2001-05-28,f,1600
2001-07-04,f,1600
2001-09-03,f,1600
2001-09-11,f,1600
2001-09-12,f,1600
2001-09-13,f,1600
2001-09-14,f,1600
2001-11-22,f,1600
2001-12-25,f,1600
2002-01-01,f,1600
2002-01-21,f,1600
2002-02-18,f,1600
2002-03-29,f,1600
2002-05-27,f,1600
2002-07-04,f,1600
2002-09-02,f,1600
2002-11-28,f,1600
2002-12-25,f,1600
2003-01-01,f,1600
2003-01-20,f,1600
2003-02-17,f,1600
2003-04-18,f,1600
2003-05-26,f,1600
2003-07-04,f,1600
2003-09-01,f,1600
2003-11-27,f,1600
2003-12-25,f,1600
2004-01-01,f,1600
2004-01-19,f,1600
2004-02-16,f,1600
2004-04-09,f,1600
2004-05-31,f,1600
2004-06-11,f,1600
2004-07-05,f,1600
2004-09-06,f,1600
2004-11-25,f,1600
2004-12-24,f,1600
2005-01-17,f,1600
2005-02-21,f,1600
2005-03-25,f,1600
2005-05-30,f,1600
2005-07-04,f,1600
2005-09-05,f,1600
2005-11-24,f,1600
2005-12-26,f,1600
2006-01-02,f,1600
2006-01-16,f,1600
2006-02-20,f,1600
2006-04-14,f,1600
2006-05-29,f,1600
2006-07-04,f,1600
2006-09-04,f,1600
2006-11-23,f,1600
2006-12-25,f,1600
2007-01-01,f,1600
2007-01-02,f,1600
2007-01-15,f,1600
2007-02-19,f,1600
2007-04-06,f,1600
2007-05-28,f,1600
2007-07-04,f,1600
2007-09-03,f,1600
2007-11-22,f,1600
2007-12-25,f,1600
2008-01-01,f,1600
2008-01-21,f,1600
2008-02-18,f,1600
2008-03-21,f,1600
2008-05-26,f,1600
2008-07-04,f,1600
2008-09-01,f,1600
2008-11-27,f,1600
2008-12-25,f,1600
2009-01-01,f,1600
2009-01-19,f,1600
2009-02-16,f,1600
2009-04-10,f,1600
2009-05-25,f,1600
2009-07-03,f,1600
2009-09-07,f,1600
2009-11-26,f,1600
2009-12-25,f,1600
2010-01-01,f,1600
2010-01-18,f,1600
2010-02-15,f,1600
2010-04-02,f,1600
2010-05-31,f,1600
2010-07-05,f,1600
2010-09-06,f,1600
2010-11-25,f,1600
2010-12-24,f,1600
2011-01-17,f,1600
2011-02-21,f,1600
2011-04-22,f,1600
2011-05-30,f,1600
2011-07-04,f,1600
2011-09-05,f,1600
2011-11-24,f,1600
2011-12-26,f,1600
2012-01-02,f,1600
2012-01-16,f,1600
2012-02-20,f,1600
2012-04-06,f,1600
2012-05-28,f,1600
2012-07-04,f,1600
2012-09-03,f,1600
2012-10-29,f,1600
2012-10-30,f,1600
